2022-06-27 13:33:24.284  INFO 3184 --- [main] .c.m.l.QuickfixLmaxMarketDataApplication : Starting QuickfixLmaxMarketDataApplication using Java 17.0.3 on DESKTOP-G1O7DN4 with PID 3184 (D:\home\Courses\Java\quickfix\quickfix-lmax\quickfix-lmax-client\quickfix-client-lmax\quickfix-client-markerdata-lmax\target\classes started by iorch in D:\home\Courses\Java\quickfix\quickfix-lmax\quickfix-lmax-client)
2022-06-27 13:33:24.287  INFO 3184 --- [main] .c.m.l.QuickfixLmaxMarketDataApplication : No active profile set, falling back to 1 default profile: "default"
2022-06-27 13:33:25.105  INFO 3184 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8090 (http)
2022-06-27 13:33:25.105  INFO 3184 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-27 13:33:25.105  INFO 3184 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-06-27 13:33:25.160  INFO 3184 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-06-27 13:33:25.160  INFO 3184 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 835 ms
2022-06-27 13:33:25.268  INFO 3184 --- [main] o.q.c.m.l.client.api.MarketDataService   : subscriptionConfig: SubscriptionConfig(tickers={XBTUSD=100934, XETUSD=100935})
2022-06-27 13:33:25.268  INFO 3184 --- [main] o.q.c.m.l.client.api.MarketDataService   : quickfixConfig: QuickfixConfig(senderCompID=jcorderop, targetCompID=LMXBDM, dataDictionaryFile=brokerFixMarketDataGateway-QuickFix-DataDictionary.xml, userName=jcorderop, password=lmax4trading_)
2022-06-27 13:33:25.390  INFO 3184 --- [main] i.a.q.s.b.s.c.SessionSettingsLocator     : Loading settings from 'classpath:quickfixj-client.cfg'
2022-06-27 13:33:25.646  INFO 3184 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint(s) beneath base path '/actuator'
2022-06-27 13:33:25.681  INFO 3184 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8090 (http) with context path ''
2022-06-27 13:33:25.681  INFO 3184 --- [main] i.a.q.s.b.s.connection.ConnectorManager  : start: Starting ConnectorManager
2022-06-27 13:33:25.705  INFO 3184 --- [main] quickfix.DefaultSessionSchedule          : [FIX.4.4:jcorderop->LMXBDM] daily, 00:00:00-UTC - 00:00:00-UTC
2022-06-27 13:33:25.712  INFO 3184 --- [main] o.q.c.m.l.c.ClientApplicationAdapter     : onCreate: SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:33:25.777  INFO 3184 --- [main] quickfix.mina.NetworkingOptions          : Socket option: SocketTcpNoDelay=true
2022-06-27 13:33:25.777  INFO 3184 --- [main] quickfix.mina.NetworkingOptions          : Socket option: SocketSynchronousWrites=false
2022-06-27 13:33:25.777  INFO 3184 --- [main] quickfix.mina.NetworkingOptions          : Socket option: SocketSynchronousWriteTimeout=30000
2022-06-27 13:33:25.777  WARN 3184 --- [main] quickfix.mina.ssl.SSLContextFactory      : quickfixj.keystore: keystore not found, using empty keystore
2022-06-27 13:33:25.854  INFO 3184 --- [main] quickfix.ThreadedSocketInitiator         : SessionTimer started
2022-06-27 13:33:25.861  INFO 3184 --- [main] .c.m.l.QuickfixLmaxMarketDataApplication : Started QuickfixLmaxMarketDataApplication in 2.17 seconds (JVM running for 3.215)
2022-06-27 13:33:26.148  INFO 3184 --- [RMI TCP Connection(1)-192.168.1.135] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-27 13:33:26.148  INFO 3184 --- [RMI TCP Connection(1)-192.168.1.135] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-27 13:33:26.148  INFO 3184 --- [RMI TCP Connection(1)-192.168.1.135] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2022-06-27 13:33:26.868  INFO 3184 --- [QFJ Timer] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: Message=8=FIX.4.4|9=76|35=A|34=1|49=jcorderop|52=20220627-11:33:26.868|56=LMXBDM|98=0|108=30|141=Y|10=199|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:33:26.900  INFO 3184 --- [QFJ Timer] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: msgType A
2022-06-27 13:33:26.900  INFO 3184 --- [QFJ Timer] o.q.c.m.l.c.ClientApplicationAdapter     : Adding credentials...
2022-06-27 13:33:26.900  INFO 3184 --- [QFJ Timer] o.q.c.m.l.c.ClientApplicationAdapter     : toAdmin: 8=FIX.4.4|9=108|35=A|34=1|49=jcorderop|52=20220627-11:33:26.868|56=LMXBDM|98=0|108=30|141=Y|553=jcorderop|554=lmax4trading_|10=160|
2022-06-27 13:33:26.954  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : fromAdmin: Message=8=FIX.4.4|9=76|35=A|34=1|49=LMXBDM|52=20220627-11:33:26.888|56=jcorderop|98=0|108=30|141=Y|10=201|, SessionId=FIX.4.4:jcorderop->LMXBDM
2022-06-27 13:33:26.954  INFO 3184 --- [QF/J Session dispatcher: FIX.4.4:jcorderop->LMXBDM] o.q.c.m.l.c.ClientApplicationAdapter     : onLogon: SessionId=FIX.4.4:jcorderop->LMXBDM
